user,movie,rate
600,927,
2133,1297,
2805,2342,
558,57,
824,11612,
145,17197,
957,5447,
1573,1837,
4114,312,
2189,5847,
2868,1597,
1426,4407,
936,592,
908,25207,
61,12127,
1636,17062,
2035,7097,
61,362,
614,1907,
1496,3062,
1125,7332,
1881,3177,
2889,31282,
488,3307,
642,6277,
1041,402,
1041,6157,
1139,4107,
4128,2217,
747,1137,
2749,8362,
824,5837,
1174,40657,
1811,6662,
2735,18327,
2077,27747,
264,11057,
551,1802,
313,10217,
3561,2497,
1034,967,
4541,5247,
2448,352,
40,21557,
1790,5737,
4674,672,
1734,15517,
299,18052,
439,22702,
320,20187,
243,29872,
2945,1972,
3806,4517,
75,21887,
61,5342,
2343,1882,
1531,1212,
810,2547,
264,39622,
1860,3082,
3337,2517,
3190,16057,
712,3897,
2469,342,
1405,20847,
1111,6237,
747,32177,
978,2182,
320,9327,
2350,7077,
2133,442,
908,10282,
2861,6197,
1419,2382,
2021,2757,
922,5197,
2833,1667,
2644,15822,
355,342,
1230,19172,
2448,5347,
2931,2697,
3218,17887,
285,357,
2721,292,
964,3467,
1797,44122,
2350,24447,
1076,5777,
887,6222,
19,257,
1251,4697,
964,34762,
761,1097,
201,6252,
187,337,
1139,7872,
4387,4522,
1636,1912,
1195,3367,
12,14862,
838,2117,
4590,33197,
3274,7657,
1006,2552,
852,11417,
922,13782,
1531,1182,
887,362,
82,5657,
404,14267,
1076,362,
964,13637,
3078,417,
614,19157,
180,16032,
1055,4822,
404,4727,
1237,12587,
2798,47,
712,15712,
2399,3072,
313,2222,
82,27917,
2343,852,
383,3572,
3078,12327,
2490,18012,
2231,6672,
3519,41517,
2371,187,
817,7607,
873,19207,
2854,4442,
82,2947,
1188,567,
3617,6217,
1440,1672,
2315,1217,
565,3977,
3281,1397,
82,5852,
747,44882,
194,312,
131,6457,
544,2342,
383,28092,
257,17032,
1349,1842,
1580,7297,
439,9447,
537,77,
1405,10627,
2882,1582,
614,4302,
1083,3797,
656,1197,
3372,887,
2210,3787,
1202,5977,
201,35692,
1055,10357,
817,887,
306,8357,
75,2947,
320,5797,
2315,1402,
1328,2277,
2245,7107,
