,user,movie
22614,565,10597
9124,2021,19742
46587,4534,10607
27884,747,7197
58322,2280,3682
55471,3071,3172
25069,2427,7707
18496,1783,5077
28042,243,27587
40113,75,13157
38388,4303,3402
22670,747,722
59448,201,7182
34479,2315,19017
29060,1797,4492
56544,3925,5427
51,3232,392
42272,2147,592
14927,306,19437
43375,1181,3752
55340,243,4327
3808,873,17857
58618,1013,18862
51023,747,11127
3837,1706,592
18423,89,13082
26394,124,4617
19501,467,19332
2504,1013,12077
37862,3071,9877
14554,698,1147
37783,152,2107
11177,873,27962
53210,586,24817
13867,712,10472
23697,341,5132
44618,89,6937
53230,1412,2057
50550,3498,4707
25827,719,4692
613,1706,28427
17868,1496,3912
20708,383,3467
9499,40,33727
25689,3876,2602
49762,2679,1402
49976,607,1672
15419,1909,3957
35592,684,2357
44669,3358,11682
52984,131,7857
8187,3694,1232
12081,1328,20932
50046,390,2457
1043,2525,2057
5316,936,11592
35480,2350,12927
30730,82,2847
44592,1286,3032
25751,1286,29172
34966,4149,3062
16485,2882,4822
24568,1174,322
23326,1153,7947
48543,12,11652
52356,1258,43967
49311,1468,2377
31978,341,11737
51124,1741,5907
57962,1069,2762
21619,82,23782
27132,2217,5057
46597,495,152
48071,3505,9597
14382,4177,3067
48122,712,1547
41358,1804,3787
17210,4002,2117
16225,1272,642
25704,229,822
1682,1111,5307
55159,75,33152
42206,3071,12697
45227,2735,4127
39877,1426,257
35686,1146,32002
21458,4576,28152
50039,712,1297
26363,3995,592
44156,810,7182
32364,1972,3912
40621,19,6387
36193,1860,10827
23852,75,4997
16371,404,392
47243,369,4002
34939,453,13792
2570,1853,642
40832,12,11167
35453,3519,12747
6616,2385,18387
14350,12,9882
2913,341,7867
4489,3197,1172
17186,901,6217
13190,1580,14212
9341,264,1522
5529,1720,2242
6189,1202,2082
6209,1650,8207
15743,873,30597
29890,936,4517
41468,1153,7927
23932,369,8347
41629,3932,8397
19067,1615,6952
9512,537,4812
49737,75,4522
40988,2994,5112
50920,1860,12927
40904,3113,1707
2081,2448,3232
45609,2329,15652
33520,544,18147
50182,82,20062
50278,3239,2342
47141,1405,1842
13716,3848,12982
26581,82,43187
48557,320,2012
54336,292,15672
41942,1531,11657
57189,2994,592
11539,1258,102
45821,2798,2552
49695,82,37007
38851,1762,20702
37665,257,1202
3579,376,4407
37377,614,13792
27259,2427,4127
37417,1174,2847
53634,1041,6872
57338,1748,8167
11434,208,31627
51669,152,427
28069,26,1787
40854,383,19462
57812,1223,6482
5876,404,7952
5694,1041,4117
705,152,8822
1193,124,11667
8655,439,312
52768,747,1637
41828,936,30567
17839,3057,592
52713,3946,362
3424,124,12177
39224,40,3307
8141,1153,2597
57326,1944,31192
7837,1370,422
52391,2693,1172
55792,425,852
45327,1041,18587
54446,2378,9092
49503,635,8007
22110,1783,1987
52945,2189,642
32900,334,15307
3238,208,17742
32061,1349,15272
13636,1979,1667
35931,2007,7122
3988,915,552
58144,4016,927
45114,201,12437
5198,12,557
24348,4492,2057
30733,1104,14472
3699,3246,342
44309,1426,2052
44032,866,722
40368,313,15497
29119,1958,3177
29735,341,1182
16594,481,7567
17640,96,3842
40348,3253,13332
31300,712,4132
56546,2882,31782
56886,572,4302
18491,1258,41842
39076,4086,277
13383,89,237
10122,2259,3682
44766,1125,322
26434,1125,337
13253,3701,10607
11635,1769,1442
29603,1034,2082
19108,439,502
39820,299,4692
19742,2385,14412
11422,873,5587
13278,75,18692
40392,2266,697
21782,61,20277
55620,89,8837
45952,75,16112
31044,2994,692
32343,257,912
36474,1790,4792
17285,12,11792
48167,747,15152
12215,264,11157
10442,1426,14522
49768,866,5902
44635,684,722
48944,12,5532
28511,502,7827
54831,1132,6152
26128,1146,24227
44007,677,252
31316,439,2732
10886,922,33092
48630,1251,2017
32449,2441,10227
42945,404,13037
68,754,592
10030,936,1657
878,383,2202
55036,1076,3167
20937,2189,3927
32456,544,2082
43147,89,15157
46080,201,2447
37481,1426,9732
53401,621,5447
44325,2238,24477
40694,1349,9372
3455,663,11077
52048,698,312
57354,2189,847
7701,530,28402
54699,1111,10932
5246,201,15232
5481,320,1307
21384,75,14327
3347,3498,532
57476,1580,3862
37000,2770,1797
31935,2210,802
36622,82,2592
11207,2448,3382
45347,908,1592
35462,313,507
13237,383,9707
16634,635,26207
44519,411,592
43133,558,557
7192,2378,13977
40049,1944,16967
4517,82,20352
39342,131,32807
926,1930,967
43881,635,17932
56287,12,6662
12158,1167,847
5169,313,11342
1539,698,24967
41498,3617,4642
28682,1426,5407
5266,3960,6287
13944,390,32172
19930,2728,6662
877,3715,3167
6011,1286,22497
38967,1300,17482
4327,1293,8132
51958,565,24407
36738,82,8617
45321,82,9362
46693,96,9412
44232,537,82
39169,2287,11212
5614,271,8207
15589,3946,1832
59009,1300,6627
4110,3274,3167
51846,208,8647
28551,3337,26882
41683,1139,417
21650,1244,2732
42813,831,11772
48723,1223,337
13616,1020,29707
34766,2098,2997
54655,327,12827
5128,2840,662
25083,2560,2132
21524,873,11407
4491,3750,337
44048,1643,12947
50725,271,6217
47418,1916,6492
54302,3883,1547
48057,89,882
45889,810,7002
44864,2770,417
5203,873,5032
53116,712,2947
19903,271,2057
58591,89,2312
44013,2245,137
29907,4009,12192
3950,383,932
10055,4436,17602
21749,4177,952
40749,1426,1212
42865,2903,3472
4044,383,10042
55998,1426,11327
34490,2532,8287
40836,4541,1612
17965,621,9837
43590,3302,4562
51598,1405,6502
49169,1545,4442
54281,3610,12352
47854,873,6527
36408,3862,8112
39248,2392,2392
42898,2756,582
53969,61,18142
43132,1286,1237
34187,292,1657
57823,1482,24827
5634,873,9582
10352,1944,10732
18511,208,5577
9457,2693,2562
5842,2378,10752
36232,82,4667
2011,404,6817
19305,348,2997
39346,278,8042
11588,2245,15187
37704,3232,22412
47541,2448,28767
1385,313,11247
46559,1146,7857
40616,75,497
56362,747,25207
54447,1426,2057
34253,89,492
28923,2910,6357
16609,572,13222
32800,649,5227
39421,1244,5657
15715,271,10072
14381,320,6102
53424,537,2267
48719,1720,10952
24299,1559,1307
19803,3862,3262
5361,1034,15692
10543,1195,672
40487,1006,7262
49547,180,34312
44844,2287,4372
1484,1426,27202
44987,3967,1032
8397,908,927
29164,2427,29922
39945,1944,1637
38683,89,7882
58641,82,907
31097,2245,1547
59217,1594,1792
34112,2812,4672
25643,761,462
1643,1097,1547
51879,439,16822
17469,2637,3157
19890,3337,1212
54202,3813,1217
30513,131,2627
40369,740,1512
6763,1279,2117
8844,866,1327
36676,369,882
3072,1440,7477
52116,404,12587
22000,712,8737
41673,887,5832
40944,82,9667
17255,1405,792
28244,208,7052
37781,383,302
10195,502,1107
18057,2490,1792
8916,264,252
18082,2861,727
4640,677,6697
57721,404,35447
40291,782,7352
37397,327,11622
43910,873,18987
27641,26,2677
12627,376,1667
26502,740,6597
9928,3568,547
16841,299,14507
42784,327,2337
37976,1895,4492
20480,2441,11472
13423,614,11252
15599,3176,9892
54769,824,6167
20303,271,22982
33428,1559,13397
8638,3512,6122
19503,873,8142
22187,2252,11552
58830,1447,4297
50080,2168,4537
12754,4681,337
50452,75,14852
31753,2693,10272
5290,404,1032
46031,201,2037
45176,1055,432
26092,481,44067
43261,152,7322
6476,1741,7402
45809,2007,3787
40933,684,13447
52382,439,3592
29943,873,17602
36050,957,12952
21709,684,3367
59405,180,4327
36148,1258,5657
212,1496,417
5995,866,1222
33288,698,4907
52939,355,2592
48777,1405,5647
13357,1195,1442
38051,2756,2312
57183,929,402
45506,404,187
36174,1951,967
50173,2812,4162
59757,1202,3827
8591,404,10112
27619,2336,2512
50678,1125,23282
5926,747,8942
42403,3253,1262
37282,866,4722
13099,1629,1367
28812,1958,822
38745,2245,20702
38409,2952,5912
43521,1111,15957
6386,299,5807
40975,180,38192
24111,404,1757
15961,89,8087
15408,810,11032
30755,3694,4142
23569,362,14512
58391,180,9927
51205,957,10177
641,2315,8042
10465,404,5717
807,908,10217
42308,1909,14352
31091,964,5267
40404,705,1367
3613,1440,2462
6414,3099,2622
45940,75,20407
53148,712,9012
44571,3841,1182
34777,558,6217
52361,1230,6562
34286,180,34752
12456,89,3572
5587,1832,8477
24196,936,15537
34415,2175,6137
18964,1146,2242
6783,3701,582
9933,530,5647
49066,75,14397
58291,621,1347
54014,383,5757
28698,936,7417
14851,271,11752
34290,922,2122
14011,2420,3167
58511,3078,17222
2634,915,1297
34432,3099,5027
