,rate
22614,1.5
9124,1.0
46587,4.5
27884,2.5
58322,4.0
55471,4.5
25069,4.0
18496,4.0
28042,4.5
40113,4.0
38388,4.0
22670,2.0
59448,2.0
34479,5.0
29060,5.0
56544,2.0
51,5.0
42272,5.0
14927,2.0
43375,3.5
55340,4.0
3808,4.0
58618,4.5
51023,3.0
3837,4.5
18423,1.5
26394,4.0
19501,4.5
2504,4.0
37862,1.5
14554,3.0
37783,2.0
11177,2.5
53210,3.5
13867,4.0
23697,3.0
44618,4.0
53230,1.0
50550,0.5
25827,4.0
613,4.0
17868,2.0
20708,1.0
9499,1.0
25689,4.0
49762,2.0
49976,2.5
15419,4.0
35592,3.0
44669,2.0
52984,4.5
8187,5.0
12081,3.5
50046,4.0
1043,4.5
5316,3.0
35480,5.0
30730,4.0
44592,4.0
25751,2.0
34966,3.0
16485,3.0
24568,4.0
23326,4.0
48543,3.0
52356,5.0
49311,4.0
31978,4.0
51124,3.0
57962,4.0
21619,5.0
27132,4.5
46597,3.5
48071,4.0
14382,4.5
48122,4.0
41358,5.0
17210,3.0
16225,3.5
25704,3.5
1682,4.0
55159,2.5
42206,5.0
45227,5.0
39877,3.0
35686,4.0
21458,5.0
50039,4.0
26363,5.0
44156,2.0
32364,5.0
40621,4.5
36193,5.0
23852,3.0
16371,5.0
47243,3.0
34939,0.5
2570,5.0
40832,4.0
35453,4.0
6616,2.0
14350,3.0
2913,4.0
4489,5.0
17186,5.0
13190,4.0
9341,4.0
5529,4.5
6189,4.0
6209,4.0
15743,3.0
29890,4.0
41468,4.0
23932,5.0
41629,3.0
19067,3.0
9512,4.0
49737,3.0
40988,4.0
50920,5.0
40904,3.5
2081,5.0
45609,2.0
33520,4.0
50182,4.0
50278,3.0
47141,4.0
13716,4.0
26581,4.0
48557,4.0
54336,4.0
41942,3.0
57189,5.0
11539,4.5
45821,3.5
49695,3.5
38851,4.5
37665,2.5
3579,3.5
37377,4.0
27259,4.0
37417,4.0
53634,5.0
57338,5.0
11434,0.5
51669,5.0
28069,4.0
40854,0.5
57812,3.0
5876,5.0
5694,5.0
705,4.0
1193,3.0
8655,4.0
52768,3.5
41828,4.0
17839,3.0
52713,5.0
3424,3.0
39224,3.0
8141,3.0
57326,4.0
7837,4.0
52391,5.0
55792,4.0
45327,4.0
54446,4.5
49503,0.5
22110,5.0
52945,4.0
32900,1.0
3238,3.5
32061,4.0
13636,5.0
35931,4.0
3988,3.0
58144,5.0
45114,4.5
5198,3.5
24348,5.0
30733,3.0
3699,5.0
44309,3.0
44032,4.0
40368,3.0
29119,4.5
29735,3.0
16594,2.5
17640,4.0
40348,1.0
31300,4.0
56546,4.0
56886,5.0
18491,5.0
39076,3.0
13383,4.0
10122,4.0
44766,3.5
26434,4.0
13253,5.0
11635,3.0
29603,5.0
19108,4.0
39820,3.5
19742,3.0
11422,5.0
13278,2.5
40392,1.0
21782,1.0
55620,1.5
45952,3.0
31044,4.0
32343,3.5
36474,5.0
17285,3.0
48167,2.0
12215,4.5
10442,4.0
49768,5.0
44635,4.0
48944,3.5
28511,3.0
54831,4.5
26128,3.5
44007,3.0
31316,4.0
10886,3.5
48630,3.0
32449,3.0
42945,4.0
68,4.0
10030,1.5
